-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  -21.9344   Longitude -50.5163 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 445.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,1,19,7.41,8.03,0.64,413.68,145.3,155.59,18.93,0.58,3.09
2020,1,20,7.51,8.14,0.65,411.56,147.03,157.66,19.32,0.59,3.18
2020,1,21,7.22,7.98,0.62,407.16,140.01,152.99,18.3,0.56,2.98
2020,1,22,5.07,7.7,0.44,415.92,100.09,147.31,13.46,0.41,2.14
2020,1,23,2.66,7.63,0.23,430.38,56.96,147.28,8.12,0.27,1.37
2020,1,24,7.01,8.19,0.61,408.74,137.76,158.24,18.35,0.56,2.95
2020,1,25,8.17,8.41,0.71,384.85,156.71,159.98,20.58,0.62,3.3
2020,1,26,8.24,8.48,0.72,385.75,157.9,161.23,20.78,0.6,3.16
2020,1,27,8.13,8.42,0.7,394.95,156.42,160.88,20.59,0.6,3.16
2020,1,28,8.1,8.22,0.7,397.08,156.41,157.73,20.46,0.62,3.34
2020,1,29,6.81,7.94,0.59,406.8,133.21,152.94,17.65,0.55,2.95
2020,1,30,5.93,7.81,0.52,416.8,119.11,153.47,16.05,0.52,2.69
2020,1,31,5.42,7.64,0.48,419.55,108.95,148.77,14.69,0.48,2.54
2020,2,1,5.64,7.81,0.49,418.41,112.92,152.65,15.37,0.51,2.7
2020,2,2,4.46,7.7,0.39,420.55,90.85,150.29,12.59,0.41,2.16
2020,2,3,4.72,7.62,0.41,417.72,94.46,147.52,12.85,0.42,2.23
2020,2,4,5.19,7.71,0.46,416.91,103.88,149.13,14.07,0.45,2.38
2020,2,5,5.79,7.58,0.51,421.21,114.98,146.51,15.23,0.48,2.55
2020,2,6,5.7,7.78,0.51,417.34,113.89,151.8,15.41,0.5,2.64
2020,2,7,5.2,7.63,0.46,409.45,103.88,148.1,13.88,0.44,2.3
2020,2,8,5.78,7.81,0.52,411.86,115.02,151.82,15.42,0.48,2.52
2020,2,9,4.75,7.58,0.42,417.16,95.95,146.93,12.87,0.41,2.11
2020,2,10,3.65,7.65,0.33,422.92,75.5,149.54,10.69,0.34,1.79
2020,2,11,3.92,7.69,0.35,417.13,80.3,150.46,11.4,0.38,1.94
2020,2,12,5.58,7.84,0.5,402.59,110.36,151.52,14.84,0.46,2.4
2020,2,13,7.74,7.93,0.7,385.26,149.23,151.81,19.47,0.59,3.12
2020,2,14,7.66,8.01,0.69,387.95,147.58,153.02,19.38,0.6,3.21
2020,2,15,7.25,7.66,0.66,402.34,141.3,147.99,18.42,0.56,2.98
2020,2,16,7.03,7.68,0.64,409.34,137.96,149.2,18.18,0.56,3.01
2020,2,17,6.57,7.66,0.59,409.8,129.34,148.88,17.2,0.54,2.87
2020,2,18,7.25,7.72,0.66,412.33,142.98,150.95,18.98,0.59,3.17
2020,2,19,5.96,7.53,0.55,422.43,118.62,146.89,16.02,0.51,2.69
2020,2,20,4.73,7.45,0.43,424.3,94.89,145.24,12.96,0.4,2.08
2020,2,21,4.04,7.58,0.38,421.8,81.82,148.16,11.53,0.37,1.9
2020,2,22,5.82,7.65,0.54,416.2,115.27,148.77,15.54,0.49,2.58
2020,2,23,5.18,7.53,0.48,409.81,101.74,144.69,13.79,0.43,2.21
2020,2,24,3.81,7.07,0.35,421.23,77.34,136.12,10.52,0.33,1.68
2020,2,25,3.72,7.27,0.34,423.43,75.8,142.36,10.49,0.34,1.75
2020,2,26,3.18,7.09,0.3,420.16,65.31,137.7,9.07,0.3,1.54
2020,2,27,4.75,7.25,0.45,414.27,92.99,137.48,12.41,0.39,2.02
2020,2,28,7.45,7.6,0.7,383.93,143.11,145.32,18.66,0.55,2.95
2020,2,29,7.02,7.57,0.66,388.42,134.56,144.07,17.66,0.54,2.84
2020,3,1,6.2,7.52,0.59,385.88,119.61,143.52,15.86,0.48,2.49
2020,3,2,6.2,7.56,0.59,387.91,120.34,145.19,16.0,0.48,2.48
2020,3,3,6.6,7.55,0.63,382.26,127.76,145.17,16.78,0.49,2.55
2020,3,4,7.54,7.61,0.73,368.16,143.48,144.49,18.71,0.55,2.91
2020,3,5,7.45,7.63,0.72,374.88,142.6,145.77,18.73,0.55,2.91
2020,3,6,7.36,7.61,0.71,367.7,140.73,145.61,18.57,0.58,-999.0
2020,3,7,7.57,7.65,0.73,357.27,142.34,143.7,18.59,0.54,2.82
2020,3,8,7.46,7.5,0.73,365.52,141.96,142.59,18.48,0.52,2.75
2020,3,9,7.11,7.43,0.7,376.29,135.92,142.24,17.86,0.53,-999.0
2020,3,10,7.13,7.32,0.7,384.2,135.66,139.39,17.62,0.49,2.57
2020,3,11,6.84,7.22,0.67,397.28,130.86,138.0,17.01,0.5,2.62
2020,3,12,6.99,7.27,0.7,401.11,134.36,139.82,17.52,0.52,2.73
2020,3,13,7.26,7.29,0.73,395.76,138.73,139.48,18.06,0.53,2.84
2020,3,14,6.94,7.2,0.7,402.18,132.77,138.01,17.29,0.52,2.73
2020,3,15,6.34,7.12,0.64,409.24,123.1,137.54,16.27,0.5,2.66
2020,3,16,6.46,7.04,0.65,411.92,124.8,135.45,16.37,0.51,2.67
2020,3,17,6.69,7.06,0.68,413.98,129.88,136.93,16.99,0.52,2.71
2020,3,18,5.24,6.88,0.53,420.78,103.12,134.2,13.95,0.45,2.31
2020,3,19,4.31,6.69,0.45,424.31,86.42,131.07,11.98,0.38,1.98
2020,3,20,4.33,6.57,0.45,420.66,86.16,127.59,11.71,0.38,1.93
2020,3,21,4.89,6.75,0.51,418.0,95.54,130.2,12.95,0.42,2.19
2020,3,22,6.63,6.89,0.69,388.77,125.86,131.0,16.4,0.51,2.75
2020,3,23,6.76,7.04,0.7,376.04,127.8,133.13,16.66,0.51,2.72
2020,3,24,6.49,6.9,0.68,380.47,123.44,131.4,16.06,0.48,2.55
2020,3,25,6.46,6.82,0.68,386.44,123.38,130.35,16.04,0.48,2.51
2020,3,26,6.55,6.84,0.7,385.03,124.74,130.41,16.19,0.49,2.59
2020,3,27,6.04,6.69,0.64,393.33,115.59,127.8,15.1,0.45,2.38
2020,3,28,5.64,6.51,0.6,403.12,109.36,125.7,14.33,0.42,2.16
2020,3,29,1.92,6.28,0.2,417.91,40.15,121.35,5.8,0.18,0.92
2020,3,30,5.35,6.43,0.58,413.3,104.21,124.4,13.77,0.41,2.13
2020,3,31,6.32,6.54,0.69,404.05,121.12,125.81,15.64,0.46,2.43
2020,4,1,6.46,6.49,0.7,398.98,124.3,124.68,15.92,0.47,2.48
2020,4,2,5.96,6.41,0.66,409.99,114.81,123.26,14.83,0.44,-999.0
2020,4,3,5.42,6.41,0.6,399.18,105.55,123.9,13.95,0.42,2.2
2020,4,4,6.67,6.69,0.74,349.29,124.94,124.87,16.0,0.49,2.64
2020,4,5,6.47,6.45,0.73,383.63,125.09,124.27,16.03,0.48,2.62
2020,4,6,6.28,6.3,0.7,407.26,122.31,122.48,15.68,0.47,2.51
2020,4,7,3.91,5.97,0.45,417.45,77.91,116.48,10.66,0.34,1.81
2020,4,8,5.83,6.2,0.66,393.36,111.42,118.38,14.38,0.44,2.34
2020,4,9,6.28,6.27,0.72,369.6,119.51,119.12,15.19,0.45,2.34
2020,4,10,6.32,6.29,0.73,356.09,119.59,118.96,15.21,0.42,2.21
2020,4,11,5.79,6.27,0.67,367.29,109.7,118.67,14.27,0.41,2.12
2020,4,12,5.31,6.12,0.62,384.94,101.65,116.91,13.31,0.38,2.01
2020,4,13,6.04,6.08,0.7,382.93,115.77,116.39,14.76,0.41,2.13
2020,4,14,3.11,5.74,0.37,397.38,61.57,109.7,8.44,0.26,1.37
2020,4,15,5.77,6.32,0.69,347.76,107.15,117.17,13.93,0.41,2.16
2020,4,16,6.32,6.41,0.75,317.38,115.81,117.36,14.7,0.41,2.16
2020,4,17,6.19,6.18,0.74,336.7,114.9,114.59,14.52,0.42,2.22
2020,4,18,5.93,6.06,0.72,350.96,111.21,113.63,14.12,0.41,2.19
2020,4,19,5.6,5.91,0.68,371.01,106.35,112.13,13.59,0.39,2.08
2020,4,20,5.52,5.84,0.67,376.74,105.03,111.05,13.36,0.38,2.02
2020,4,21,5.69,5.95,0.7,366.27,106.71,111.62,13.56,0.38,2.0
2020,4,22,5.93,5.96,0.73,351.0,111.15,111.52,13.98,0.38,-999.0
2020,4,23,5.91,5.9,0.73,353.45,110.96,110.79,14.02,0.38,1.99
2020,4,24,5.86,5.83,0.73,353.16,109.16,108.69,13.7,0.38,1.98
2020,4,25,5.64,5.64,0.71,392.64,107.77,107.85,13.57,0.38,1.96
2020,4,26,5.73,5.7,0.73,362.81,107.12,106.62,13.41,0.36,1.88
2020,4,27,5.71,5.72,0.73,343.17,105.7,106.05,13.23,0.34,-999.0
2020,4,28,5.74,5.71,0.73,343.56,106.95,106.38,13.38,0.34,1.77
2020,4,29,5.74,5.73,0.74,344.51,106.73,106.53,13.38,0.34,1.73
2020,4,30,5.58,5.6,0.72,357.49,105.09,105.59,13.2,0.34,1.79
2020,5,1,5.49,5.5,0.71,361.88,103.4,103.62,12.94,0.34,1.76
2020,5,2,5.33,5.38,0.7,377.79,101.45,102.34,12.73,0.34,1.8
2020,5,3,5.54,5.52,0.73,347.44,103.37,103.01,12.91,0.35,1.84
2020,5,4,5.53,5.52,0.73,342.45,102.88,102.65,12.86,0.34,1.77
2020,5,5,4.66,5.35,0.62,360.35,86.55,99.38,11.14,0.31,1.7
2020,5,6,2.8,4.88,0.38,393.52,53.55,90.96,7.22,0.2,1.14
2020,5,7,3.87,5.33,0.52,373.09,71.4,98.93,9.44,0.27,1.46
2020,5,8,5.55,5.59,0.75,318.7,101.2,101.96,12.7,0.34,1.72
2020,5,9,5.47,5.45,0.74,327.36,101.16,100.83,12.59,0.33,1.67
2020,5,10,5.33,5.32,0.73,342.24,99.3,99.28,12.37,0.33,1.68
2020,5,11,5.2,5.28,0.72,348.09,96.98,98.74,12.12,0.33,-999.0
2020,5,12,3.41,5.14,0.47,370.37,64.11,95.55,8.69,0.24,1.33
2020,5,13,1.16,4.66,0.16,388.46,23.34,88.77,3.38,0.09,0.52
2020,5,14,1.74,4.69,0.24,397.57,34.45,88.64,4.89,0.14,0.76
2020,5,15,2.57,4.67,0.36,396.08,49.31,87.73,6.68,0.19,1.01
2020,5,16,4.98,5.03,0.7,353.24,93.4,94.57,11.61,0.3,1.61
2020,5,17,5.08,5.16,0.72,337.18,94.06,95.66,11.7,0.3,-999.0
2020,5,18,5.28,5.27,0.75,321.29,95.62,95.45,11.82,0.3,1.58
2020,5,19,5.06,5.02,0.73,345.09,94.39,93.96,11.64,0.3,1.56
2020,5,20,4.44,4.8,0.64,370.4,83.57,90.79,10.43,0.27,1.37
2020,5,21,4.84,4.85,0.7,364.36,90.9,91.41,11.2,0.27,1.41
2020,5,22,4.3,4.71,0.62,387.8,81.91,90.17,10.34,0.27,1.41
2020,5,23,2.03,4.62,0.3,369.94,39.75,87.92,5.64,0.16,0.86
2020,5,24,2.23,4.99,0.33,367.73,42.52,91.55,6.13,0.16,0.9
2020,5,25,4.94,4.94,0.73,304.06,89.55,90.17,11.03,0.27,-999.0
2020,5,26,5.13,5.08,0.76,292.1,91.98,91.46,11.34,0.29,1.48
2020,5,27,5.04,5.06,0.75,295.69,91.22,91.93,11.28,0.29,-999.0
2020,5,28,5.15,5.11,0.77,294.2,91.64,91.15,11.24,0.28,1.44
2020,5,29,4.97,5.01,0.74,308.58,89.62,90.46,11.09,0.28,1.44
2020,5,30,5.01,4.99,0.75,306.79,89.69,89.72,10.99,0.28,1.45
2020,5,31,4.84,4.87,0.73,315.39,87.91,88.77,10.8,0.27,1.41
2020,6,1,4.67,4.62,0.7,341.39,87.09,86.8,10.62,0.27,1.34
2020,6,2,1.45,4.26,0.22,390.77,28.77,80.58,4.13,0.11,0.55
2020,6,3,2.36,4.13,0.36,407.29,45.09,77.48,6.0,0.15,0.8
2020,6,4,2.11,4.21,0.32,400.35,41.02,80.21,5.66,0.15,0.77
2020,6,5,2.86,4.16,0.44,398.77,54.05,78.71,7.09,0.18,0.97
2020,6,6,2.52,3.97,0.38,403.71,47.45,74.43,6.13,0.15,0.79
2020,6,7,3.1,4.42,0.48,395.34,58.48,83.81,7.69,0.18,0.94
2020,6,8,3.87,4.43,0.59,382.22,73.48,84.67,9.27,0.21,1.09
2020,6,9,2.5,4.27,0.38,402.42,47.95,81.51,6.31,0.15,0.79
2020,6,10,3.92,4.34,0.6,389.58,73.77,82.52,9.22,0.22,1.15
2020,6,11,4.19,4.41,0.65,370.63,78.63,83.45,9.77,0.23,1.18
2020,6,12,4.31,4.48,0.66,355.44,79.91,83.76,9.8,0.23,1.2
2020,6,13,4.54,4.58,0.7,346.48,84.12,85.5,10.3,0.24,1.25
2020,6,14,4.42,4.41,0.69,356.74,82.67,83.04,10.05,0.24,1.23
2020,6,15,4.43,4.46,0.69,359.41,83.01,84.24,10.13,0.23,1.2
2020,6,16,4.55,4.51,0.71,345.72,84.43,84.12,10.27,0.23,1.16
2020,6,17,4.29,4.44,0.67,356.98,79.88,83.23,9.84,0.22,1.09
2020,6,18,3.88,4.42,0.6,354.63,71.46,81.95,8.94,0.2,1.04
2020,6,19,4.55,4.55,0.71,346.09,84.65,85.14,10.35,0.23,1.16
2020,6,20,4.72,4.7,0.73,331.63,85.84,85.92,10.47,0.23,1.16
2020,6,21,4.43,4.52,0.69,356.33,82.52,84.67,10.13,0.24,1.23
2020,6,22,4.62,4.58,0.72,347.5,86.08,85.84,10.52,0.26,1.31
2020,6,23,3.81,4.62,0.59,347.06,69.46,84.65,8.95,0.23,1.27
2020,6,24,4.01,4.54,0.62,351.71,73.83,83.83,9.34,0.23,1.23
2020,6,25,4.2,4.4,0.66,376.02,79.18,83.48,9.85,0.24,1.25
2020,6,26,2.0,4.01,0.31,408.18,38.27,75.27,5.2,0.12,0.66
2020,6,27,1.3,4.18,0.2,401.34,25.8,78.92,3.67,0.09,0.48
2020,6,28,2.78,4.44,0.43,364.62,51.12,81.12,6.77,0.16,0.86
2020,6,29,3.68,4.27,0.57,349.01,68.19,78.91,8.53,0.21,1.12
2020,6,30,4.17,4.38,0.65,369.49,78.74,83.19,9.71,0.22,1.13
2020,7,1,4.16,4.66,0.64,338.53,76.23,85.55,9.61,0.24,1.27
2020,7,2,4.78,4.77,0.73,308.35,86.55,86.73,10.62,0.26,1.32
2020,7,3,4.78,4.75,0.73,297.94,85.95,85.73,10.48,0.25,1.25
2020,7,4,4.75,4.7,0.73,316.0,86.53,86.21,10.57,0.25,1.27
2020,7,5,3.81,4.54,0.59,362.35,70.24,84.05,8.88,0.22,1.16
2020,7,6,4.11,4.4,0.62,367.35,77.28,83.34,9.51,0.23,1.2
2020,7,7,4.62,4.57,0.7,350.52,86.22,85.88,10.52,0.26,1.3
2020,7,8,3.76,4.46,0.57,374.41,70.2,83.98,8.86,0.23,1.17
2020,7,9,4.2,4.74,0.64,348.94,76.25,86.23,9.62,0.26,1.36
2020,7,10,4.78,4.76,0.73,325.56,87.95,88.09,10.77,0.27,1.38
2020,7,11,4.29,4.62,0.65,346.16,79.57,86.4,9.92,0.24,1.27
2020,7,12,4.49,4.73,0.67,343.05,82.45,87.45,10.24,0.25,1.28
2020,7,13,4.32,4.65,0.65,366.98,81.02,87.74,10.09,0.24,1.23
2020,7,14,4.09,4.46,0.61,388.52,77.41,85.01,9.61,0.23,1.23
2020,7,15,4.67,4.65,0.7,360.67,87.99,88.08,10.81,0.27,1.38
2020,7,16,4.57,4.66,0.68,358.67,84.94,87.0,10.47,0.26,1.31
2020,7,17,4.74,4.69,0.7,358.46,88.98,88.54,10.88,0.27,1.34
2020,7,18,4.8,4.76,0.71,350.82,89.59,89.37,10.98,0.27,1.36
2020,7,19,4.89,4.84,0.72,342.88,90.18,89.79,11.04,0.27,1.39
2020,7,20,5.02,4.98,0.73,332.63,92.4,92.03,11.37,0.29,1.47
2020,7,21,5.09,5.05,0.74,325.78,92.16,91.92,11.31,0.28,1.45
2020,7,22,5.08,5.04,0.73,335.83,93.06,92.8,11.46,0.28,1.44
2020,7,23,5.02,4.99,0.73,338.96,93.12,92.97,11.52,0.29,-999.0
2020,7,24,5.09,5.05,0.73,336.11,93.55,93.18,11.53,0.29,1.48
2020,7,25,5.03,5.01,0.72,337.23,92.69,92.73,11.43,0.29,1.48
2020,7,26,4.94,4.97,0.7,342.93,91.04,91.95,11.2,0.27,1.41
2020,7,27,4.97,5.03,0.7,350.76,92.46,93.94,11.45,0.28,1.44
2020,7,28,4.72,4.94,0.66,362.38,88.31,92.82,10.98,0.28,1.45
2020,7,29,4.71,4.75,0.66,365.61,87.56,88.69,10.7,0.27,1.38
2020,7,30,4.8,4.85,0.67,350.95,88.45,89.9,10.84,0.27,1.36
2020,7,31,4.72,5.12,0.66,355.58,87.79,95.12,11.09,0.27,1.36
2020,8,1,5.02,5.16,0.7,339.95,92.9,95.74,11.55,0.28,1.45
2020,8,2,5.25,5.25,0.72,344.03,97.96,98.01,12.15,0.28,1.42
2020,8,3,5.32,5.32,0.73,338.44,98.68,98.66,12.25,0.3,1.49
2020,8,4,5.48,5.46,0.74,322.39,99.27,98.98,12.29,0.29,1.45
2020,8,5,5.54,5.51,0.75,319.9,100.88,100.41,12.52,0.3,1.51
2020,8,6,5.17,5.4,0.7,320.65,94.23,98.53,11.59,0.27,-999.0
2020,8,7,5.55,5.54,0.74,324.89,101.52,101.33,12.62,0.3,1.52
2020,8,8,5.2,5.51,0.7,337.71,95.01,100.72,11.91,0.3,1.52
2020,8,9,5.5,5.51,0.73,337.64,101.31,101.53,12.58,0.3,1.55
2020,8,10,5.53,5.55,0.73,342.66,102.21,102.47,12.76,0.31,1.57
2020,8,11,4.41,5.43,0.58,371.35,82.05,100.91,10.67,0.28,1.51
2020,8,12,4.82,5.34,0.62,367.16,89.37,98.77,11.3,0.3,1.58
2020,8,13,4.84,5.3,0.62,379.91,90.37,98.95,11.34,0.3,1.57
2020,8,14,5.11,5.29,0.66,383.02,95.85,99.3,11.89,0.31,1.66
2020,8,15,4.88,5.37,0.62,386.08,92.35,101.67,11.72,0.31,1.64
2020,8,16,1.78,4.38,0.23,406.86,34.53,78.73,4.33,0.12,0.65
2020,8,17,1.45,4.51,0.19,417.03,29.04,82.39,3.74,0.11,0.57
2020,8,18,4.01,4.91,0.51,403.12,74.46,90.27,9.2,0.25,1.3
2020,8,19,3.72,4.83,0.47,400.38,69.13,87.92,8.66,0.23,1.16
2020,8,20,2.46,4.6,0.3,396.62,46.26,83.86,5.92,0.16,0.84
2020,8,21,0.8,5.21,0.1,379.29,16.76,94.32,2.38,0.07,0.35
2020,8,22,5.36,5.91,0.66,320.61,97.25,107.0,12.28,0.32,1.68
2020,8,23,6.02,6.01,0.73,333.51,111.45,111.1,14.02,0.38,1.98
2020,8,24,5.61,5.85,0.68,344.68,105.16,109.29,13.23,0.37,-999.0
2020,8,25,6.14,6.11,0.74,328.4,113.77,113.08,14.3,0.41,2.14
2020,8,26,6.24,6.35,0.75,317.63,112.72,114.54,14.23,0.41,-999.0
2020,8,27,6.49,6.48,0.77,317.12,116.59,116.22,14.74,0.43,2.27
2020,8,28,6.07,6.27,0.72,334.48,110.76,114.09,13.87,0.38,-999.0
2020,8,29,6.25,6.23,0.74,360.82,116.53,115.99,14.72,0.41,2.18
2020,8,30,6.22,6.22,0.73,382.23,116.86,116.75,14.82,0.41,2.1
2020,8,31,6.01,6.17,0.7,375.85,112.2,114.71,14.18,0.38,-999.0
2020,9,1,6.11,6.1,0.71,373.51,114.27,113.96,14.32,0.37,1.86
2020,9,2,6.01,6.02,0.7,380.68,112.84,112.9,14.2,0.38,1.99
2020,9,3,6.34,6.33,0.73,362.47,118.23,117.8,14.95,0.41,2.16
2020,9,4,6.24,6.33,0.71,365.38,116.45,117.64,14.72,0.41,2.16
2020,9,5,6.47,6.5,0.73,358.35,118.52,118.59,14.94,0.41,2.17
2020,9,6,6.45,6.46,0.73,368.17,119.25,119.14,15.02,0.43,2.26
2020,9,7,6.27,6.32,0.7,376.78,115.05,115.72,14.4,0.4,2.07
2020,9,8,6.31,6.36,0.7,364.55,114.02,114.87,14.17,0.41,2.13
2020,9,9,6.52,6.54,0.73,361.98,119.54,119.47,15.05,0.43,2.3
2020,9,10,6.2,6.47,0.69,382.44,115.26,119.99,14.62,0.41,2.16
2020,9,11,6.38,6.41,0.7,377.78,116.63,116.8,14.49,0.39,2.01
2020,9,12,6.32,6.38,0.7,380.15,116.57,117.33,14.54,0.4,2.09
2020,9,13,5.92,6.03,0.65,383.21,106.68,108.37,12.87,0.35,1.84
2020,9,14,5.2,5.87,0.56,391.24,92.92,103.8,11.12,0.31,1.64
2020,9,15,5.96,6.05,0.64,372.55,106.77,108.33,12.77,0.35,1.88
2020,9,16,6.42,6.53,0.69,383.98,120.24,121.91,15.14,0.44,2.3
2020,9,17,6.12,6.52,0.66,386.61,111.95,118.49,14.1,0.41,2.23
2020,9,18,3.32,4.59,0.35,423.7,56.98,76.91,5.75,0.16,0.84
2020,9,19,2.6,4.13,0.27,435.44,43.6,66.54,4.0,0.11,0.55
2020,9,20,3.34,4.2,0.35,428.45,55.95,68.29,5.61,0.15,0.74
2020,9,21,3.0,5.35,0.31,411.17,55.74,95.27,6.69,0.19,0.93
2020,9,22,4.52,6.04,0.47,396.78,85.1,111.47,10.7,0.31,1.63
2020,9,23,6.61,6.87,0.69,382.99,125.49,129.7,16.04,0.48,2.52
2020,9,24,7.09,7.1,0.73,378.82,134.66,134.12,17.3,0.5,2.66
2020,9,25,7.0,7.11,0.72,386.93,133.06,134.12,17.12,0.52,-999.0
2020,9,26,7.35,7.36,0.75,372.83,137.73,136.91,17.72,0.55,2.95
2020,9,27,6.5,7.16,0.66,395.95,121.84,133.41,15.71,0.47,2.46
2020,9,28,5.95,6.68,0.6,412.78,111.32,123.65,14.04,0.41,2.16
2020,9,29,6.67,6.75,0.67,402.82,125.48,126.31,15.69,0.47,2.54
2020,9,30,7.05,7.21,0.71,386.71,129.92,131.84,16.47,0.49,2.64
2020,10,1,6.53,6.78,0.66,398.93,119.51,123.23,14.69,0.43,2.27
2020,10,2,6.77,6.9,0.67,398.5,125.27,127.15,15.58,0.45,2.38
2020,10,3,6.43,6.68,0.64,406.37,116.52,120.41,14.14,0.4,2.09
2020,10,4,6.8,6.82,0.67,398.84,127.17,126.9,15.75,0.45,2.4
2020,10,5,6.9,6.92,0.68,411.88,129.81,129.47,16.17,0.47,2.48
2020,10,6,6.82,6.89,0.67,408.09,126.61,127.05,15.65,0.45,2.41
2020,10,7,6.2,6.79,0.6,433.12,114.51,123.92,14.14,0.42,2.26
2020,10,8,4.43,5.67,0.43,443.2,80.91,102.05,9.15,0.28,1.51
2020,10,9,4.08,4.87,0.4,448.38,69.42,81.68,6.88,0.2,1.03
2020,10,10,4.84,6.51,0.47,415.1,89.41,118.73,10.84,0.32,1.66
2020,10,11,6.77,7.16,0.65,371.58,125.66,131.69,15.82,0.48,2.55
2020,10,12,6.87,7.52,0.66,384.16,128.91,139.83,16.59,0.52,2.82
2020,10,13,5.8,6.52,0.55,415.7,105.98,117.99,12.65,0.38,1.96
